iter	MultiClass
0	1.28006184
1	1.084345798
2	0.948520017
3	0.8459898384
4	0.7652131103
5	0.699681208
6	0.6459661845
7	0.6011290138
8	0.5638890599
9	0.5321608648
10	0.5044959004
11	0.4804251204
12	0.4598764137
13	0.4415518675
14	0.4255435151
15	0.4113452067
16	0.3989076679
17	0.3884621395
18	0.3788722391
19	0.3704734502
20	0.3624548628
21	0.3559925797
22	0.349817111
23	0.3445227349
24	0.3393956835
25	0.335247748
26	0.3311452777
27	0.3275539047
28	0.3244848679
29	0.3210006137
30	0.3182925868
31	0.3157903044
32	0.3131470191
33	0.3108879126
34	0.308763199
35	0.3068811523
36	0.3052843546
37	0.3038109318
38	0.3022117944
39	0.3003727714
40	0.2992289676
41	0.2978479341
42	0.2967228343
43	0.2955917903
44	0.2944365415
45	0.2933425158
46	0.2923018578
47	0.2912005681
48	0.2902693151
49	0.2896957284
50	0.288669056
51	0.2879539473
52	0.2873471151
53	0.2868257159
54	0.2859990017
55	0.2851746314
56	0.2843754043
57	0.2839126084
58	0.2833614235
59	0.2823914755
60	0.2817076055
61	0.281200493
62	0.2804468279
63	0.2800090771
64	0.2795786006
65	0.2791195896
66	0.2786502856
67	0.2782133641
68	0.2776182183
69	0.27727485
70	0.276839774
71	0.2762260214
72	0.2759442484
73	0.2756716934
74	0.2752988244
75	0.2748262124
76	0.2744122145
77	0.27387792
78	0.2730098207
79	0.2725644705
80	0.2719674626
81	0.2716898319
82	0.2711478332
83	0.2707806632
84	0.2705013606
85	0.2699282199
86	0.2694992278
87	0.2686825604
88	0.2682347063
89	0.2677534954
90	0.2672525912
91	0.2669961595
92	0.2667738125
93	0.2665296284
94	0.2660799032
95	0.2656856429
96	0.2654526896
97	0.2649094144
98	0.2646414315
99	0.2644400874
100	0.2641065162
101	0.2638863414
102	0.2636537816
103	0.2633584004
104	0.2630070541
105	0.2625909903
106	0.2621946377
107	0.2619805036
108	0.2615578888
109	0.2612965418
110	0.2609858614
111	0.2606003273
112	0.2602633714
113	0.259925522
114	0.259386573
115	0.2592017533
116	0.258768825
117	0.2585954193
118	0.2583999649
119	0.2581964745
120	0.2578196342
121	0.2575860204
122	0.2572266724
123	0.2570601557
124	0.2567324257
125	0.2564290413
126	0.2562507964
127	0.2559216854
128	0.2557525098
129	0.2555362189
130	0.2552850376
131	0.2550792159
132	0.254733153
133	0.2545270517
134	0.254359404
135	0.2539156064
136	0.253775323
137	0.2535854361
138	0.2533235386
139	0.253191632
140	0.2529625158
141	0.2526557488
142	0.2524576894
143	0.2523012489
144	0.2520901149
145	0.2518118411
146	0.2516216404
147	0.2514506837
148	0.2512907248
149	0.2511116737
150	0.2509397169
151	0.2506683705
152	0.2505467147
153	0.2503098502
154	0.2499763343
155	0.2497257105
156	0.2495846448
157	0.2493738332
158	0.2492232584
159	0.2489180174
160	0.2486837334
161	0.2485166975
162	0.2482648243
163	0.2480346024
164	0.2478692642
165	0.247715415
166	0.2476081398
167	0.2474735288
168	0.2473224001
169	0.2471699868
170	0.2469504871
171	0.2468238963
172	0.2467142015
173	0.2465234761
174	0.246319925
175	0.2461923602
176	0.2460697638
177	0.2459423499
178	0.2455912949
179	0.2454243321
180	0.2452887317
181	0.2452098701
182	0.2451004262
183	0.2449666661
184	0.2448897604
185	0.2447946874
186	0.2445793962
187	0.2443974417
188	0.2442691609
189	0.2440366814
190	0.2438263523
191	0.2437298586
192	0.243536485
193	0.2433605245
194	0.2431961472
195	0.2430855435
196	0.2429128473
197	0.24281816
198	0.2427009868
199	0.2425178151
200	0.2423844552
201	0.2422668827
202	0.2421040672
203	0.2420221341
204	0.2418250838
205	0.2417128573
206	0.2414626643
207	0.2412610256
208	0.2411636562
209	0.2410517555
210	0.2409289111
211	0.2408070106
212	0.2407227481
213	0.2406292902
214	0.2404686821
215	0.240263185
216	0.2401602889
217	0.2400556801
218	0.239937694
219	0.2398364943
220	0.2397086204
221	0.2396223498
222	0.2394546401
223	0.2393148696
224	0.2391302921
225	0.2390110986
226	0.2389151166
227	0.238769947
228	0.2386794982
229	0.2385559062
230	0.2383060864
231	0.2382097022
232	0.2380211485
233	0.2378664055
234	0.2377564586
235	0.2376090017
236	0.2375184479
237	0.2374042643
238	0.2372016147
239	0.2371119213
240	0.2369875183
241	0.2369069249
242	0.2368386357
243	0.236775708
244	0.2366834733
245	0.2365367701
246	0.2364188575
247	0.2363041111
248	0.2362119898
249	0.2360689493
250	0.235996855
251	0.2359133726
252	0.23575476
253	0.2355538473
254	0.2354332986
255	0.2353456941
256	0.2352399471
257	0.2351680166
258	0.2350787087
259	0.2349820436
260	0.234851383
261	0.2347515827
262	0.2345757811
263	0.2344114328
264	0.2343087185
265	0.2342041399
266	0.2341363688
267	0.2340538186
268	0.2339679102
269	0.233899091
270	0.233816557
271	0.2337382568
272	0.2334553615
273	0.2333627416
274	0.2332870771
275	0.2331921336
276	0.2330799262
277	0.232912207
278	0.2328308074
279	0.2327107237
280	0.2325657669
281	0.2324838459
282	0.2323673735
283	0.232294648
284	0.2322224331
285	0.2321471102
286	0.232083272
287	0.2320011406
288	0.2319155318
289	0.2318482088
290	0.2317045284
291	0.2315884192
292	0.2315036025
293	0.2313914279
294	0.2311419403
295	0.2310527566
296	0.2309571122
297	0.2308768257
298	0.2307935455
299	0.2307252198
300	0.230668428
301	0.2305217409
302	0.2304523765
303	0.2303427587
304	0.2302748405
305	0.2301406332
306	0.2300553494
307	0.2299722722
308	0.2299043045
309	0.2298173734
310	0.2297193076
311	0.2296083724
312	0.2295276377
313	0.2293969879
314	0.2293230662
315	0.2291927863
316	0.229105432
317	0.2289656738
318	0.2289190602
319	0.2288522592
320	0.2287964694
321	0.2287224824
322	0.2285847898
323	0.2284340976
324	0.2283784899
325	0.2282449459
326	0.2281603458
327	0.2280569268
328	0.2279574867
329	0.2278303323
330	0.2277871231
331	0.2277033147
332	0.2276468774
333	0.2275856164
334	0.2274119508
335	0.2273448851
336	0.2272625989
337	0.2271909245
338	0.2271145108
339	0.2270509364
340	0.2269940882
341	0.2269269465
342	0.2267905014
343	0.2266918055
