iter	Passed	Remaining
0	1202	1201301
1	2166	1081168
2	3141	1043904
3	4116	1024959
4	5307	1056180
5	6316	1046435
6	7320	1038509
7	8318	1031539
8	9387	1033683
9	10427	1032343
10	11616	1044390
11	12723	1047566
12	13816	1048992
13	14899	1049351
14	16203	1064022
15	17582	1081296
16	18543	1072244
17	19749	1077443
18	21335	1101576
19	22615	1108148
20	24174	1126981
21	25177	1119239
22	26749	1136280
23	27881	1133837
24	29091	1134555
25	30042	1125450
26	31276	1127108
27	32266	1120115
28	33883	1134510
29	35379	1143932
30	36502	1140993
31	37535	1135450
32	39044	1144108
33	40383	1147358
34	41753	1151192
35	43023	1152065
36	44497	1158133
37	45464	1150971
38	46841	1154226
39	48386	1161279
40	49210	1151038
41	50654	1155414
42	52026	1157895
43	53258	1157169
44	54481	1156219
45	55774	1156717
46	56921	1154168
47	58157	1153451
48	59232	1149589
49	60379	1147209
50	62051	1154639
51	63023	1148964
52	64050	1144444
53	64828	1135695
54	66648	1145136
55	67864	1144000
56	69152	1144046
57	70053	1137765
58	71015	1132635
59	72483	1135571
60	74000	1139125
61	74883	1132914
62	76156	1132680
63	77337	1131062
64	78185	1124671
65	79489	1124896
66	80615	1122604
67	81524	1117360
68	83070	1120848
69	83950	1115342
70	84939	1111386
71	86312	1112471
72	87581	1112170
73	88327	1105284
74	89415	1102793
75	90469	1099918
76	91564	1097581
77	93080	1100253
78	94224	1098491
79	95136	1094075
80	96631	1096355
81	97627	1092947
82	98981	1093562
83	99882	1089192
84	100724	1084267
85	101758	1081483
86	102927	1080150
87	104345	1081394
88	105442	1079300
89	106920	1081086
90	108306	1081870
91	109351	1079253
92	110133	1074092
93	110979	1069652
94	112389	1070659
95	113787	1071500
96	114534	1066233
97	115653	1064487
98	116809	1063080
99	117595	1058357
100	118464	1054450
101	119429	1051452
102	120437	1048861
103	121477	1046577
104	122764	1046418
105	124241	1047845
106	125718	1049224
107	126590	1045547
108	128105	1047176
109	129081	1044386
110	130792	1047517
111	131644	1043750
112	133004	1044025
113	134034	1041709
114	135492	1042703
115	136327	1038910
116	137751	1039610
117	138560	1035678
118	139304	1031319
119	140275	1028683
120	141554	1028316
121	142643	1026566
122	144498	1030287
123	145377	1027020
124	146226	1023586
125	147184	1020949
126	148248	1019060
127	149967	1021656
128	150749	1017849
129	151820	1016031
130	152980	1014808
131	154080	1013193
132	155708	1015032
133	156758	1013082
134	157625	1009969
135	158900	1009484
136	159846	1006918
137	160950	1005359
138	162490	1006503
139	163245	1002791
140	164460	1001928
141	165686	1001121
142	166514	997920
143	167243	994171
144	168189	991738
145	169926	993954
146	171161	993202
147	172247	991589
148	173350	990077
149	174202	987148
150	175289	985566
151	176509	984738
152	177224	981103
153	178333	979676
154	179982	981194
155	181255	980638
156	182142	977998
157	183186	976223
158	184159	974075
159	185538	974076
160	187128	975161
161	188278	973934
162	189930	975286
163	191320	975269
164	192264	972974
165	192984	969574
166	193993	967646
167	194745	964454
168	195545	961526
169	196875	961215
170	198025	960017
171	198697	956519
172	199671	954498
173	200684	952673
174	202017	952367
175	202816	949550
176	203560	946501
177	204393	943883
178	205619	943094
179	206788	942038
180	207701	939821
181	208366	936505
182	209181	933887
183	210163	932030
184	210822	928758
185	211500	925600
186	212551	924086
187	213736	923157
188	214476	920320
189	215563	918981
190	217041	919303
191	217737	916313
192	218958	915542
193	220017	914093
194	221214	913218
195	222055	910880
196	223020	909064
197	223796	906489
198	224578	903955
199	225742	902969
200	226835	901699
201	227609	899170
202	229106	899495
203	230017	897519
204	231173	896502
205	231887	893779
206	233170	893256
207	234553	893106
208	235262	890393
209	236356	889152
210	237421	887797
211	238414	886183
212	239218	883874
213	239971	881389
214	241332	881145
215	242567	880429
