ID,Segment
TEST_00000,E
TEST_00001,E
TEST_00002,D
TEST_00003,E
TEST_00004,E
TEST_00005,E
TEST_00006,E
TEST_00007,E
TEST_00008,E
TEST_00009,E
TEST_00010,E
TEST_00011,E
TEST_00012,D
TEST_00013,E
TEST_00014,E
TEST_00015,E
TEST_00016,D
TEST_00017,E
TEST_00018,E
TEST_00019,E
TEST_00020,E
TEST_00021,E
TEST_00022,E
TEST_00023,E
TEST_00024,E
TEST_00025,E
TEST_00026,E
TEST_00027,E
TEST_00028,E
TEST_00029,D
TEST_00030,E
TEST_00031,E
TEST_00032,D
TEST_00033,E
TEST_00034,D
TEST_00035,E
TEST_00036,E
TEST_00037,C
TEST_00038,E
TEST_00039,D
TEST_00040,E
TEST_00041,E
TEST_00042,E
TEST_00043,E
TEST_00044,E
TEST_00045,E
TEST_00046,E
TEST_00047,E
TEST_00048,E
TEST_00049,E
TEST_00050,E
TEST_00051,E
TEST_00052,E
TEST_00053,C
TEST_00054,E
TEST_00055,E
TEST_00056,E
TEST_00057,C
TEST_00058,D
TEST_00059,E
TEST_00060,E
TEST_00061,E
TEST_00062,E
TEST_00063,E
TEST_00064,E
TEST_00065,E
TEST_00066,E
TEST_00067,E
TEST_00068,E
TEST_00069,E
TEST_00070,E
TEST_00071,E
TEST_00072,E
TEST_00073,E
TEST_00074,E
TEST_00075,E
TEST_00076,E
TEST_00077,E
TEST_00078,E
TEST_00079,E
TEST_00080,E
TEST_00081,E
TEST_00082,E
TEST_00083,E
TEST_00084,E
TEST_00085,E
TEST_00086,E
TEST_00087,E
TEST_00088,D
TEST_00089,E
TEST_00090,E
TEST_00091,E
TEST_00092,E
TEST_00093,E
TEST_00094,E
TEST_00095,E
TEST_00096,E
TEST_00097,E
TEST_00098,E
TEST_00099,D
TEST_00100,E
TEST_00101,E
TEST_00102,E
TEST_00103,E
TEST_00104,D
TEST_00105,E
TEST_00106,E
TEST_00107,E
TEST_00108,E
TEST_00109,E
TEST_00110,E
TEST_00111,E
TEST_00112,E
TEST_00113,E
TEST_00114,E
TEST_00115,E
TEST_00116,E
TEST_00117,E
TEST_00118,C
TEST_00119,D
TEST_00120,E
TEST_00121,E
TEST_00122,E
TEST_00123,D
TEST_00124,E
TEST_00125,E
TEST_00126,E
TEST_00127,E
TEST_00128,D
TEST_00129,E
TEST_00130,E
TEST_00131,E
TEST_00132,E
TEST_00133,D
TEST_00134,E
TEST_00135,E
TEST_00136,C
TEST_00137,C
TEST_00138,E
TEST_00139,E
TEST_00140,E
TEST_00141,D
TEST_00142,E
TEST_00143,E
TEST_00144,E
TEST_00145,E
TEST_00146,E
TEST_00147,E
TEST_00148,E
TEST_00149,E
TEST_00150,E
TEST_00151,E
TEST_00152,E
TEST_00153,E
TEST_00154,D
TEST_00155,E
TEST_00156,E
TEST_00157,E
TEST_00158,E
TEST_00159,E
TEST_00160,E
TEST_00161,E
TEST_00162,E
TEST_00163,E
TEST_00164,E
TEST_00165,E
TEST_00166,D
TEST_00167,E
TEST_00168,E
TEST_00169,D
TEST_00170,E
TEST_00171,E
TEST_00172,E
TEST_00173,E
TEST_00174,E
TEST_00175,E
TEST_00176,E
TEST_00177,E
TEST_00178,E
TEST_00179,E
TEST_00180,E
TEST_00181,E
TEST_00182,E
TEST_00183,E
TEST_00184,E
TEST_00185,E
TEST_00186,E
TEST_00187,E
TEST_00188,E
TEST_00189,D
TEST_00190,E
TEST_00191,E
TEST_00192,E
TEST_00193,E
TEST_00194,D
TEST_00195,D
TEST_00196,D
TEST_00197,E
TEST_00198,C
TEST_00199,E
TEST_00200,E
TEST_00201,E
TEST_00202,E
TEST_00203,D
TEST_00204,E
TEST_00205,D
TEST_00206,E
TEST_00207,E
TEST_00208,E
TEST_00209,D
TEST_00210,D
TEST_00211,E
TEST_00212,D
TEST_00213,D
TEST_00214,E
TEST_00215,E
TEST_00216,E
TEST_00217,E
TEST_00218,D
TEST_00219,E
TEST_00220,E
TEST_00221,D
TEST_00222,E
TEST_00223,E
TEST_00224,E
TEST_00225,E
TEST_00226,E
TEST_00227,E
TEST_00228,E
TEST_00229,D
TEST_00230,E
TEST_00231,E
TEST_00232,E
TEST_00233,E
TEST_00234,E
TEST_00235,E
TEST_00236,E
TEST_00237,E
TEST_00238,C
TEST_00239,D
TEST_00240,E
TEST_00241,E
TEST_00242,D
TEST_00243,E
TEST_00244,E
TEST_00245,E
TEST_00246,E
TEST_00247,E
TEST_00248,E
TEST_00249,D
TEST_00250,D
TEST_00251,E
TEST_00252,E
TEST_00253,E
TEST_00254,E
TEST_00255,E
TEST_00256,E
TEST_00257,E
TEST_00258,E
TEST_00259,E
TEST_00260,E
TEST_00261,E
TEST_00262,E
TEST_00263,E
TEST_00264,E
TEST_00265,E
TEST_00266,E
TEST_00267,D
TEST_00268,E
TEST_00269,E
TEST_00270,E
TEST_00271,D
TEST_00272,E
TEST_00273,E
TEST_00274,E
TEST_00275,E
TEST_00276,D
TEST_00277,E
TEST_00278,E
TEST_00279,E
TEST_00280,D
TEST_00281,E
TEST_00282,E
TEST_00283,D
TEST_00284,E
TEST_00285,E
TEST_00286,E
TEST_00287,E
TEST_00288,E
TEST_00289,E
TEST_00290,E
TEST_00291,E
TEST_00292,E
TEST_00293,C
TEST_00294,E
TEST_00295,E
TEST_00296,E
TEST_00297,E
TEST_00298,E
TEST_00299,E
TEST_00300,E
TEST_00301,E
TEST_00302,D
TEST_00303,E
TEST_00304,C
TEST_00305,E
TEST_00306,E
TEST_00307,D
TEST_00308,E
TEST_00309,D
TEST_00310,D
TEST_00311,E
TEST_00312,E
TEST_00313,E
TEST_00314,E
TEST_00315,E
TEST_00316,D
TEST_00317,E
TEST_00318,E
TEST_00319,E
TEST_00320,E
TEST_00321,E
TEST_00322,E
